Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
1;Guardians of the Galaxy;Action,Adventure,Sci-Fi;James Gunn;Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana;2014;121;8.1;757074;333.13;76
2;Prometheus;Adventure,Mystery,Sci-Fi;Ridley Scott;Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron;2012;124;7;485820;126.46;65
37;Interstellar;Adventure,Drama,Sci-Fi;Christopher Nolan;Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy;2014;169;8.6;1047747;187.99;74
46;Pirates of the Caribbean: On Stranger Tides;Action,Adventure,Fantasy;Rob Marshall;Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush;2011;136;6.7;395025;241.06;45
54;John Wick;Action,Crime,Thriller;Chad Stahelski;Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe;2014;101;7.2;321933;43;68
66;Kingsman: The Secret Service;Action,Adventure,Comedy;Matthew Vaughn;Colin Firth, Taron Egerton, Samuel L. Jackson,Michael Caine;2014;129;7.7;440209;128.25;58
77;The Avengers;Action,Sci-Fi;Joss Whedon;Robert Downey Jr., Chris Evans, Scarlett Johansson,Jeremy Renner;2012;143;8.1;1045588;623.28;69
81;Inception;Action,Adventure,Sci-Fi;Christopher Nolan;Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe;2010;148;8.8;1583625;292.57;74
83;The Wolf of Wall Street;Biography,Comedy,Crime;Martin Scorsese;Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey;2013;180;8.2;865134;116.87;75
84;Gone Girl;Crime,Drama,Mystery;David Fincher;Ben Affleck, Rosamund Pike, Neil Patrick Harris,Tyler Perry;2014;149;8.1;636243;167.74;79
91;Prisoners;Crime,Drama,Mystery;Denis Villeneuve;Hugh Jackman, Jake Gyllenhaal, Viola Davis,Melissa Leo;2013;153;8.1;431185;60.96;74
93;The Help;Drama;Tate Taylor;Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard;2011;146;8.1;342429;169.71;62
102;Thor;Action,Adventure,Fantasy;Kenneth Branagh;Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston;2011;115;7;570814;181.02;57
110;Ex Machina;Drama,Mystery,Sci-Fi;Alex Garland;Alicia Vikander, Domhnall Gleeson, Oscar Isaac,Sonoya Mizuno;2014;108;7.7;339797;25.44;78
112;12 Years a Slave;Biography,Drama,History;Steve McQueen;Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt;2013;134;8.1;486338;56.67;96
115;Harry Potter and the Deathly Hallows: Part 2;Adventure,Drama,Fantasy;David Yates;Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon;2011;130;8.1;590595;380.96;87
122;Divergent;Adventure,Mystery,Sci-Fi;Neil Burger;Shailene Woodley, Theo James, Kate Winslet, Jai Courtney;2014;139;6.7;362093;150.83;48
125;The Dark Knight Rises;Action,Thriller;Christopher Nolan;Christian Bale, Tom Hardy, Anne Hathaway,Gary Oldman;2012;164;8.5;1222645;448.13;78
127;Transformers: Age of Extinction;Action,Adventure,Sci-Fi;Michael Bay;Mark Wahlberg, Nicola Peltz, Jack Reynor, Stanley Tucci;2014;165;5.7;255483;245.43;32
132;Into the Woods;Adventure,Comedy,Drama;Rob Marshall;Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt;2014;125;6;109756;128;69
134;Whiplash;Drama,Music;Damien Chazelle;Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser;2014;107;8.5;477276;13.09;88
135;Furious 6;Action,Crime,Thriller;Justin Lin;Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez;2013;130;7.1;318051;238.67;61
136;The Place Beyond the Pines;Crime,Drama,Thriller;Derek Cianfrance;Ryan Gosling, Bradley Cooper, Eva Mendes,Craig Van Hook;2012;140;7.3;200090;21.38;68
138;The Great Gatsby;Drama,Romance;Baz Luhrmann;Leonardo DiCaprio, Carey Mulligan, Joel Edgerton,Tobey Maguire;2013;143;7.3;386102;144.81;55
139;Shutter Island;Mystery,Thriller;Martin Scorsese;Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo,Ben Kingsley;2010;138;8.1;855604;127.97;63
142;Diary of a Wimpy Kid;Comedy,Family;Thor Freudenthal;Zachary Gordon, Robert Capron, Rachael Harris,Steve Zahn;2010;94;6.2;34184;64;56
145;Django Unchained;Drama,Western;Quentin Tarantino;Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,Kerry Washington;2012;165;8.4;1039115;162.8;81
152;The Hunger Games;Adventure,Sci-Fi,Thriller;Gary Ross;Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth,Stanley Tucci;2012;142;7.2;735604;408;68
155;Twin Peaks: The Missing Pieces;Drama,Horror,Mystery;David Lynch;Chris Isaak, Kiefer Sutherland, C.H. Evans, Sandra Kinder;2014;91;8.1;1973;0;41
157;Pacific Rim;Action,Adventure,Sci-Fi;Guillermo del Toro;Idris Elba, Charlie Hunnam, Rinko Kikuchi,Charlie Day;2013;131;7;400519;101.79;64
158;Crazy, Stupid, Love.;Comedy,Drama,Romance;Glenn Ficarra;Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone;2011;118;7.4;396714;84.24;68
159;Scott Pilgrim vs. the World;Action,Comedy,Fantasy;Edgar Wright;Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Alison Pill;2010;112;7.5;291457;31.49;69
163;X-Men: Days of Future Past;Action,Adventure,Sci-Fi;Bryan Singer;Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy;2014;132;8;552298;233.91;74
171;Nightcrawler;Crime,Drama,Thriller;Dan Gilroy;Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed;2014;118;7.9;332476;32.28;76
174;Her;Drama,Romance,Sci-Fi;Spike Jonze;Joaquin Phoenix, Amy Adams, Scarlett Johansson,Rooney Mara;2013;126;8;390531;25.56;90
175;Frozen;Animation,Adventure,Comedy;Chris Buck;Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad;2013;102;7.5;451894;400.74;74
177;Dawn of the Planet of the Apes;Action,Adventure,Drama;Matt Reeves;Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee;2014;130;7.6;337777;208.54;79
189;Drive;Crime,Drama;Nicolas Winding Refn;Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks;2011;100;7.8;461509;35.05;78
195;Warrior;Action,Drama,Sport;Gavin O'Connor;Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison;2011;140;8.2;355722;13.65;71
196;Captain America: The First Avenger;Action,Adventure,Sci-Fi;Joe Johnston;Chris Evans, Hugo Weaving, Samuel L. Jackson,Hayley Atwell;2011;124;6.9;547368;176.64;66
199;The Imitation Game;Biography,Drama,Thriller;Morten Tyldum;Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech;2014;114;8.1;532353;91.12;73
201;Edge of Tomorrow;Action,Adventure,Sci-Fi;Doug Liman;Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson;2014;113;7.9;471815;100.19;71
206;X: First Class;Action,Adventure,Sci-Fi;Matthew Vaughn;James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon;2011;132;7.8;550011;146.41;65
