Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
1;Guardians of the Galaxy;Action,Adventure,Sci-Fi;James Gunn;Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana;2014;121;8.1;757074;333.13;76
5;Suicide Squad;Action,Adventure,Fantasy;David Ayer;Will Smith, Jared Leto, Margot Robbie, Viola Davis;2016;123;6.2;393727;325.02;40
6;The Great Wall;Action,Adventure,Fantasy;Yimou Zhang;Matt Damon, Tian Jing, Willem Dafoe, Andy Lau;2016;103;6.1;56036;45.13;42
9;The Lost City of Z;Action,Adventure,Biography;James Gray;Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland;2016;141;7.1;7188;8.01;78
13;Rogue One;Action,Adventure,Sci-Fi;Gareth Edwards;Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen;2016;133;7.9;323118;532.17;65
15;Colossal;Action,Comedy,Drama;Nacho Vigalondo;Anne Hathaway, Jason Sudeikis, Austin Stowell,Tim Blake Nelson;2016;109;6.4;8612;2.87;70
18;Jason Bourne;Action,Thriller;Paul Greengrass;Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel;2016;123;6.7;150823;162.16;58
25;Independence Day: Resurgence;Action,Adventure,Sci-Fi;Roland Emmerich;Liam Hemsworth, Jeff Goldblum, Bill Pullman,Maika Monroe;2016;120;5.3;127553;103.14;32
27;Bahubali: The Beginning;Action,Adventure,Drama;S.S. Rajamouli;Prabhas, Rana Daggubati, Anushka Shetty,Tamannaah Bhatia;2015;159;8.3;76193;6.5;45
30;Assassin's Creed;Action,Adventure,Drama;Justin Kurzel;Michael Fassbender, Marion Cotillard, Jeremy Irons,Brendan Gleeson;2016;115;5.9;112813;54.65;36
33;X-Men: Apocalypse;Action,Adventure,Sci-Fi;Bryan Singer;James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult;2016;144;7.1;275510;155.33;52
34;Deadpool;Action,Adventure,Comedy;Tim Miller;Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein;2016;108;8;627797;363.02;65
35;Resident Evil: The Final Chapter;Action,Horror,Sci-Fi;Paul W.S. Anderson;Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts;2016;107;5.6;46165;26.84;49
36;Captain America: Civil War;Action,Adventure,Sci-Fi;Anthony Russo;Chris Evans, Robert Downey Jr.,Scarlett Johansson, Sebastian Stan;2016;147;7.9;411656;408.08;75
38;Doctor Strange;Action,Adventure,Fantasy;Scott Derrickson;Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong;2016;115;7.6;293732;232.6;72
39;The Magnificent Seven;Action,Adventure,Western;Antoine Fuqua;Denzel Washington, Chris Pratt, Ethan Hawke,Vincent D'Onofrio;2016;132;6.9;122853;93.38;54
46;Pirates of the Caribbean: On Stranger Tides;Action,Adventure,Fantasy;Rob Marshall;Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush;2011;136;6.7;395025;241.06;45
49;Star Trek Beyond;Action,Adventure,Sci-Fi;Justin Lin;Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana;2016;122;7.1;164567;158.8;68
51;Star Wars: Episode VII - The Force Awakens;Action,Adventure,Fantasy;J.J. Abrams;Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson;2015;136;8.1;661608;936.63;81
52;Underworld: Blood Wars;Action,Adventure,Fantasy;Anna Foerster;Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver;2016;91;5.8;41362;30.35;23
