Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
1;Guardians of the Galaxy;Action,Adventure,Sci-Fi;James Gunn;Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana;2014;121;8.1;757074;333.13;76
2;Prometheus;Adventure,Mystery,Sci-Fi;Ridley Scott;Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron;2012;124;7;485820;126.46;65
5;Suicide Squad;Action,Adventure,Fantasy;David Ayer;Will Smith, Jared Leto, Margot Robbie, Viola Davis;2016;123;6.2;393727;325.02;40
6;The Great Wall;Action,Adventure,Fantasy;Yimou Zhang;Matt Damon, Tian Jing, Willem Dafoe, Andy Lau;2016;103;6.1;56036;45.13;42
9;The Lost City of Z;Action,Adventure,Biography;James Gray;Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland;2016;141;7.1;7188;8.01;78
10;Passengers;Adventure,Drama,Romance;Morten Tyldum;Jennifer Lawrence, Chris Pratt, Michael Sheen,Laurence Fishburne;2016;116;7;192177;100.01;41
11;Fantastic Beasts and Where to Find Them;Adventure,Family,Fantasy;David Yates;Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler;2016;133;7.5;232072;234.02;66
13;Rogue One;Action,Adventure,Sci-Fi;Gareth Edwards;Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen;2016;133;7.9;323118;532.17;65
14;Moana;Animation,Adventure,Comedy;Ron Clements;Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison;2016;107;7.7;118151;248.75;81
16;The Secret Life of Pets;Animation,Adventure,Comedy;Chris Renaud;Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell;2016;87;6.6;120259;368.31;61
21;Gold;Adventure,Drama,Thriller;Stephen Gaghan;Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard, Corey Stoll;2016;120;6.7;19053;7.22;49
24;Trolls;Animation,Adventure,Comedy;Walt Dohrn;Anna Kendrick, Justin Timberlake,Zooey Deschanel, Christopher Mintz-Plasse;2016;92;6.5;38552;153.69;56
25;Independence Day: Resurgence;Action,Adventure,Sci-Fi;Roland Emmerich;Liam Hemsworth, Jeff Goldblum, Bill Pullman,Maika Monroe;2016;120;5.3;127553;103.14;32
27;Bahubali: The Beginning;Action,Adventure,Drama;S.S. Rajamouli;Prabhas, Rana Daggubati, Anushka Shetty,Tamannaah Bhatia;2015;159;8.3;76193;6.5;45
30;Assassin's Creed;Action,Adventure,Drama;Justin Kurzel;Michael Fassbender, Marion Cotillard, Jeremy Irons,Brendan Gleeson;2016;115;5.9;112813;54.65;36
33;X-Men: Apocalypse;Action,Adventure,Sci-Fi;Bryan Singer;James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult;2016;144;7.1;275510;155.33;52
34;Deadpool;Action,Adventure,Comedy;Tim Miller;Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein;2016;108;8;627797;363.02;65
36;Captain America: Civil War;Action,Adventure,Sci-Fi;Anthony Russo;Chris Evans, Robert Downey Jr.,Scarlett Johansson, Sebastian Stan;2016;147;7.9;411656;408.08;75
37;Interstellar;Adventure,Drama,Sci-Fi;Christopher Nolan;Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy;2014;169;8.6;1047747;187.99;74
38;Doctor Strange;Action,Adventure,Fantasy;Scott Derrickson;Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong;2016;115;7.6;293732;232.6;72
39;The Magnificent Seven;Action,Adventure,Western;Antoine Fuqua;Denzel Washington, Chris Pratt, Ethan Hawke,Vincent D'Onofrio;2016;132;6.9;122853;93.38;54
41;Sausage Party;Animation,Adventure,Comedy;Greg Tiernan;Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell;2016;89;6.3;120690;97.66;66
46;Pirates of the Caribbean: On Stranger Tides;Action,Adventure,Fantasy;Rob Marshall;Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush;2011;136;6.7;395025;241.06;45
48;Fallen;Adventure,Drama,Fantasy;Scott Hicks;Hermione Corfield, Addison Timlin, Joely Richardson,Jeremy Irvine;2016;91;5.6;5103;0;52
49;Star Trek Beyond;Action,Adventure,Sci-Fi;Justin Lin;Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana;2016;122;7.1;164567;158.8;68
51;Star Wars: Episode VII - The Force Awakens;Action,Adventure,Fantasy;J.J. Abrams;Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson;2015;136;8.1;661608;936.63;81
52;Underworld: Blood Wars;Action,Adventure,Fantasy;Anna Foerster;Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver;2016;91;5.8;41362;30.35;23
56;Silence;Adventure,Drama,History;Martin Scorsese;Andrew Garfield, Adam Driver, Liam Neeson,Tadanobu Asano;2016;161;7.3;49190;7.08;79
61;Batman v Superman: Dawn of Justice;Action,Adventure,Sci-Fi;Zack Snyder;Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg;2016;151;6.7;472307;330.25;44
66;Kingsman: The Secret Service;Action,Adventure,Comedy;Matthew Vaughn;Colin Firth, Taron Egerton, Samuel L. Jackson,Michael Caine;2014;129;7.7;440209;128.25;58
68;Mad Max: Fury Road;Action,Adventure,Sci-Fi;George Miller;Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz;2015;120;8.1;632842;153.63;90
75;Zootopia;Animation,Adventure,Comedy;Byron Howard;Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate;2016;108;8.1;296853;341.26;78
76;Pirates of the Caribbean: At World's End;Action,Adventure,Fantasy;Gore Verbinski;Johnny Depp, Orlando Bloom, Keira Knightley,Geoffrey Rush;2007;169;7.1;498821;309.4;50
78;Inglourious Basterds;Adventure,Drama,War;Quentin Tarantino;Brad Pitt, Diane Kruger, Eli Roth,Mélanie Laurent;2009;153;8.3;959065;120.52;69
79;Pirates of the Caribbean: Dead Man's Chest;Action,Adventure,Fantasy;Gore Verbinski;Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport;2006;151;7.3;552027;423.03;53
81;Inception;Action,Adventure,Sci-Fi;Christopher Nolan;Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe;2010;148;8.8;1583625;292.57;74
86;Jurassic World;Action,Adventure,Sci-Fi;Colin Trevorrow;Chris Pratt, Bryce Dallas Howard, Ty Simpkins,Judy Greer;2015;124;7;455169;652.18;59
88;Avatar;Action,Adventure,Fantasy;James Cameron;Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez;2009;162;7.8;935408;760.51;83
92;Warcraft;Action,Adventure,Fantasy;Duncan Jones;Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper;2016;123;7;187547;47.17;32
95;Avengers: Age of Ultron;Action,Adventure,Sci-Fi;Joss Whedon;Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth;2015;141;7.4;516895;458.99;66
102;Thor;Action,Adventure,Fantasy;Kenneth Branagh;Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston;2011;115;7;570814;181.02;57
103;The Martian;Adventure,Drama,Sci-Fi;Ridley Scott;Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara;2015;144;8;556097;228.43;80
105;The Man from U.N.C.L.E.;Action,Adventure,Comedy;Guy Ritchie;Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki;2015;116;7.3;202973;45.43;56
