Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
4;Sing;Animation,Comedy,Family;Christophe Lourdelet;Matthew McConaughey,Reese Witherspoon, Seth MacFarlane, Scarlett Johansson;2016;108;7.2;60545;270.32;59
14;Moana;Animation,Adventure,Comedy;Ron Clements;Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison;2016;107;7.7;118151;248.75;81
16;The Secret Life of Pets;Animation,Adventure,Comedy;Chris Renaud;Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell;2016;87;6.6;120259;368.31;61
24;Trolls;Animation,Adventure,Comedy;Walt Dohrn;Anna Kendrick, Justin Timberlake,Zooey Deschanel, Christopher Mintz-Plasse;2016;92;6.5;38552;153.69;56
41;Sausage Party;Animation,Adventure,Comedy;Greg Tiernan;Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell;2016;89;6.3;120690;97.66;66
75;Zootopia;Animation,Adventure,Comedy;Byron Howard;Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate;2016;108;8.1;296853;341.26;78
97;Kimi no na wa;Animation,Drama,Fantasy;Makoto Shinkai;Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yuki;2016;106;8.6;34110;4.68;79
120;Finding Dory;Animation,Adventure,Comedy;Andrew Stanton;Ellen DeGeneres, Albert Brooks,Ed O'Neill, Kaitlin Olson;2016;97;7.4;157026;486.29;77
172;Kubo and the Two Strings;Animation,Adventure,Family;Travis Knight;Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes;2016;101;7.9;72778;48.02;84
175;Frozen;Animation,Adventure,Comedy;Chris Buck;Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad;2013;102;7.5;451894;400.74;74
222;Cars;Animation,Adventure,Comedy;John Lasseter;Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy;2006;117;7.1;283445;244.05;73
242;Inside Out;Animation,Adventure,Comedy;Pete Docter;Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling;2015;95;8.2;416689;356.45;94
243;Rock Dog;Animation,Adventure,Comedy;Ash Brannon;Luke Wilson, Eddie Izzard, J.K. Simmons, Lewis Black;2016;90;5.8;1109;9.4;48
275;Ballerina;Animation,Adventure,Comedy;Eric Summer;Elle Fanning, Dane DeHaan, Carly Rae Jepsen, Maddie Ziegler;2016;89;6.8;4729;0;21
297;Ice Age: Collision Course;Animation,Adventure,Comedy;Mike Thurmeier;Ray Romano, Denis Leary, John Leguizamo, Chris Wedge;2016;94;5.7;34523;64.06;34
331;Storks;Animation,Adventure,Comedy;Nicholas Stoller;Andy Samberg, Katie Crown,Kelsey Grammer, Jennifer Aniston;2016;87;6.9;34248;72.66;56
385;The Lego Movie;Animation,Action,Adventure;Phil Lord;Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett;2014;100;7.8;266508;257.76;83
401;Minions;Animation,Action,Adventure;Kyle Balda;Sandra Bullock, Jon Hamm, Michael Keaton, Pierre Coffin;2015;91;6.4;159830;336.03;56
404;Despicable Me;Animation,Adventure,Comedy;Pierre Coffin;Steve Carell, Jason Segel, Russell Brand, Julie Andrews;2010;95;7.7;410607;251.5;72
408;Tangled;Animation,Adventure,Comedy;Nathan Greno;Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman;2010;100;7.8;316459;200.81;71
413;Monsters University;Animation,Adventure,Comedy;Dan Scanlon;Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren;2013;104;7.3;252119;268.49;65
443;Coraline;Animation,Family,Fantasy;Henry Selick;Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders;2009;100;7.7;156620;75.28;80
449;Big Hero 6;Animation,Action,Adventure;Don Hall;Ryan Potter, Scott Adsit, Jamie Chung,T.J. Miller;2014;102;7.8;309186;222.49;74
