Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
9;The Lost City of Z;Action,Adventure,Biography;James Gray;Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland;2016;141;7.1;7188;8.01;78
12;Hidden Figures;Biography,Drama,History;Theodore Melfi;Taraji P. Henson, Octavia Spencer, Janelle Monáe,Kevin Costner;2016;127;7.8;93103;169.27;74
17;Hacksaw Ridge;Biography,Drama,History;Mel Gibson;Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer;2016;139;8.2;211760;67.12;71
19;Lion;Biography,Drama;Garth Davis;Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar;2016;118;8.1;102061;51.69;69
44;The Founder;Biography,Drama,History;John Lee Hancock;Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini;2016;115;7.2;37033;12.79;66
60;Sully;Biography,Drama;Clint Eastwood;Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey;2016;96;7.5;137608;125.07;74
83;The Wolf of Wall Street;Biography,Comedy,Crime;Martin Scorsese;Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey;2013;180;8.2;865134;116.87;75
101;Legend;Biography,Crime,Drama;Brian Helgeland;Tom Hardy, Emily Browning, Taron Egerton, Paul Anderson;2015;132;7;108836;1.87;55
112;12 Years a Slave;Biography,Drama,History;Steve McQueen;Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt;2013;134;8.1;486338;56.67;96
118;Dangal;Action,Biography,Drama;Nitesh Tiwari;Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh,Sanya Malhotra;2016;161;8.8;48969;11.15;52
143;The Big Short;Biography,Comedy,Drama;Adam McKay;Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt;2015;130;7.8;246360;70.24;81
168;Woman in Gold;Biography,Drama,History;Simon Curtis;Helen Mirren, Ryan Reynolds, Daniel Brühl, Katie Holmes;2015;109;7.3;39723;33.31;51
198;Into the Wild;Adventure,Biography,Drama;Sean Penn;Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden;2007;148;8.1;459304;18.35;73
199;The Imitation Game;Biography,Drama,Thriller;Morten Tyldum;Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech;2014;114;8.1;532353;91.12;73
203;Snowden;Biography,Drama,Thriller;Oliver Stone;Joseph Gordon-Levitt, Shailene Woodley, Melissa Leo,Zachary Quinto;2016;134;7.3;79855;21.48;58
237;Jackie;Biography,Drama,History;Pablo Larraín;Natalie Portman, Peter Sarsgaard, Greta Gerwig,Billy Crudup;2016;100;6.8;41446;13.96;81
250;The Intouchables;Biography,Comedy,Drama;Olivier Nakache;François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot;2011;112;8.6;557965;13.18;57
253;Straight Outta Compton;Biography,Drama,History;F. Gary Gray;O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell,Neil Brown Jr.;2015;147;7.9;139831;161.03;72
284;The Danish Girl;Biography,Drama,Romance;Tom Hooper;Eddie Redmayne, Alicia Vikander, Amber Heard, Ben Whishaw;2015;119;7;110773;12.71;66
299;The Infiltrator;Biography,Crime,Drama;Brad Furman;Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan;2016;127;7.1;43929;15.43;66
302;Lone Survivor;Action,Biography,Drama;Peter Berg;Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster;2013;121;7.5;218996;125.07;60
311;The Blind Side;Biography,Drama,Sport;John Lee Hancock;Quinton Aaron, Sandra Bullock, Tim McGraw,Jae Head;2009;129;7.7;237221;255.95;53
325;The Social Network;Biography,Drama;David Fincher;Jesse Eisenberg, Andrew Garfield, Justin Timberlake,Rooney Mara;2010;120;7.7;510100;96.92;95
