Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
4;Sing;Animation,Comedy,Family;Christophe Lourdelet;Matthew McConaughey,Reese Witherspoon, Seth MacFarlane, Scarlett Johansson;2016;108;7.2;60545;270.32;59
7;La La Land;Comedy,Drama,Music;Damien Chazelle;Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons;2016;128;8.3;258682;151.06;93
8;Mindhorn;Comedy;Sean Foley;Essie Davis, Andrea Riseborough, Julian Barratt,Kenneth Branagh;2016;89;6.4;2490;0;71
14;Moana;Animation,Adventure,Comedy;Ron Clements;Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison;2016;107;7.7;118151;248.75;81
15;Colossal;Action,Comedy,Drama;Nacho Vigalondo;Anne Hathaway, Jason Sudeikis, Austin Stowell,Tim Blake Nelson;2016;109;6.4;8612;2.87;70
16;The Secret Life of Pets;Animation,Adventure,Comedy;Chris Renaud;Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell;2016;87;6.6;120259;368.31;61
24;Trolls;Animation,Adventure,Comedy;Walt Dohrn;Anna Kendrick, Justin Timberlake,Zooey Deschanel, Christopher Mintz-Plasse;2016;92;6.5;38552;153.69;56
26;Paris pieds nus;Comedy;Dominique Abel;Fiona Gordon, Dominique Abel,Emmanuelle Riva, Pierre Richard;2016;83;6.8;222;0;61
29;Bad Moms;Comedy;Jon Lucas;Mila Kunis, Kathryn Hahn, Kristen Bell,Christina Applegate;2016;100;6.2;66540;113.08;60
31;Why Him?;Comedy;John Hamburg;Zoey Deutch, James Franco, Tangie Ambrose,Cedric the Entertainer;2016;111;6.3;48123;60.31;39
34;Deadpool;Action,Adventure,Comedy;Tim Miller;Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein;2016;108;8;627797;363.02;65
40;5/25/1977;Comedy,Drama;Patrick Read Johnson;John Francis Daley, Austin Pendleton, Colleen Camp, Neil Flynn;2007;113;7.1;241;0;71
41;Sausage Party;Animation,Adventure,Comedy;Greg Tiernan;Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell;2016;89;6.3;120690;97.66;66
53;Mother's Day;Comedy,Drama;Garry Marshall;Jennifer Aniston, Kate Hudson, Julia Roberts, Jason Sudeikis;2016;118;5.6;20221;32.46;18
59;Their Finest;Comedy,Drama,Romance;Lone Scherfig;Gemma Arterton, Sam Claflin, Bill Nighy, Jack Huston;2016;117;7;3739;3.18;76
66;Kingsman: The Secret Service;Action,Adventure,Comedy;Matthew Vaughn;Colin Firth, Taron Egerton, Samuel L. Jackson,Michael Caine;2014;129;7.7;440209;128.25;58
75;Zootopia;Animation,Adventure,Comedy;Byron Howard;Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate;2016;108;8.1;296853;341.26;78
80;Ghostbusters;Action,Comedy,Fantasy;Paul Feig;Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones;2016;116;5.3;147717;128.34;60
82;Captain Fantastic;Comedy,Drama;Matt Ross;Viggo Mortensen, George MacKay, Samantha Isler,Annalise Basso;2016;118;7.9;105081;5.88;72
83;The Wolf of Wall Street;Biography,Comedy,Crime;Martin Scorsese;Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey;2013;180;8.2;865134;116.87;75
94;War Dogs;Comedy,Crime,Drama;Todd Phillips;Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner;2016;114;7.1;106463;43.02;57
96;The Nice Guys;Action,Comedy,Crime;Shane Black;Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer;2016;116;7.4;175067;36.25;70
105;The Man from U.N.C.L.E.;Action,Adventure,Comedy;Guy Ritchie;Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki;2015;116;7.3;202973;45.43;56
107;The Comedian;Comedy;Taylor Hackford;Robert De Niro, Leslie Mann, Danny DeVito, Edie Falco;2016;120;5.4;1954;1.66;40
116;Office Christmas Party;Comedy;Josh Gordon;Jason Bateman, Olivia Munn, T.J. Miller,Jennifer Aniston;2016;105;5.8;30761;54.73;42
120;Finding Dory;Animation,Adventure,Comedy;Andrew Stanton;Ellen DeGeneres, Albert Brooks,Ed O'Neill, Kaitlin Olson;2016;97;7.4;157026;486.29;77
123;Mike and Dave Need Wedding Dates;Adventure,Comedy,Romance;Jake Szymanski;Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza;2016;98;6;53183;46.01;51
129;Mamma Mia!;Comedy,Family,Musical;Phyllida Lloyd;Meryl Streep, Pierce Brosnan, Amanda Seyfried,Stellan Skarsgård;2008;108;6.4;153481;143.7;51
132;Into the Woods;Adventure,Comedy,Drama;Rob Marshall;Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt;2014;125;6;109756;128;69
142;Diary of a Wimpy Kid;Comedy,Family;Thor Freudenthal;Zachary Gordon, Robert Capron, Rachael Harris,Steve Zahn;2010;94;6.2;34184;64;56
143;The Big Short;Biography,Comedy,Drama;Adam McKay;Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt;2015;130;7.8;246360;70.24;81
147;The Edge of Seventeen;Comedy,Drama;Kelly Fremon Craig;Hailee Steinfeld, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick;2016;104;7.4;47694;14.26;77
149;Superbad;Comedy;Greg Mottola;Michael Cera, Jonah Hill, Christopher Mintz-Plasse, Bill Hader;2007;113;7.6;442082;121.46;76
158;Crazy, Stupid, Love.;Comedy,Drama,Romance;Glenn Ficarra;Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone;2011;118;7.4;396714;84.24;68
159;Scott Pilgrim vs. the World;Action,Comedy,Fantasy;Edgar Wright;Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Alison Pill;2010;112;7.5;291457;31.49;69
160;Hot Fuzz;Action,Comedy,Mystery;Edgar Wright;Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy;2007;121;7.9;373244;23.62;81
162;Free Fire;Action,Comedy,Crime;Ben Wheatley;Sharlto Copley, Brie Larson, Armie Hammer, Cillian Murphy;2016;90;7;6946;1.8;63
167;Now You See Me 2;Action,Adventure,Comedy;Jon M. Chu;Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco;2016;129;6.5;156567;65.03;46
175;Frozen;Animation,Adventure,Comedy;Chris Buck;Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad;2013;102;7.5;451894;400.74;74
178;Tropic Thunder;Action,Comedy;Ben Stiller;Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn;2008;107;7;321442;110.42;71
180;Ant-Man;Action,Adventure,Comedy;Peyton Reed;Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly;2015;117;7.3;368912;180.19;64
181;Bridget Jones's Baby;Comedy,Romance;Sharon Maguire;Renée Zellweger, Gemma Jones, Jim Broadbent,Sally Phillips;2016;118;6.7;43086;24.09;59
190;Trainwreck;Comedy,Drama,Romance;Judd Apatow;Amy Schumer, Bill Hader, Brie Larson, Colin Quinn;2015;125;6.3;106364;110.01;75
200;Central Intelligence;Action,Comedy,Crime;Rawson Marshall Thurber;Dwayne Johnson, Kevin Hart, Danielle Nicolet, Amy Ryan;2016;107;6.3;97082;127.38;52
208;Paterson;Comedy,Drama,Romance;Jim Jarmusch;Adam Driver, Golshifteh Farahani, Nellie, Rizwan Manji;2016;118;7.5;26089;2.14;90
209;Bridesmaids;Comedy,Romance;Paul Feig;Kristen Wiig, Maya Rudolph, Rose Byrne, Terry Crews;2011;125;6.8;227912;169.08;75
218;Monster Trucks;Action,Adventure,Comedy;Chris Wedge;Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper;2016;104;5.7;7044;33.04;41
220;Kick-Ass;Action,Comedy;Matthew Vaughn;Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz, Garrett M. Brown;2010;117;7.7;456749;48.04;66
