Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
4;Sing;Animation,Comedy,Family;Christophe Lourdelet;Matthew McConaughey,Reese Witherspoon, Seth MacFarlane, Scarlett Johansson;2016;108;7.2;60545;270.32;59
11;Fantastic Beasts and Where to Find Them;Adventure,Family,Fantasy;David Yates;Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler;2016;133;7.5;232072;234.02;66
121;Miss Peregrine's Home for Peculiar Children;Adventure,Drama,Family;Tim Burton;Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench;2016;127;6.7;101058;87.24;57
126;The Jungle Book;Adventure,Drama,Family;Jon Favreau;Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba;2016;106;7.5;198243;364;77
129;Mamma Mia!;Comedy,Family,Musical;Phyllida Lloyd;Meryl Streep, Pierce Brosnan, Amanda Seyfried,Stellan Skarsgård;2008;108;6.4;153481;143.7;51
142;Diary of a Wimpy Kid;Comedy,Family;Thor Freudenthal;Zachary Gordon, Robert Capron, Rachael Harris,Steve Zahn;2010;94;6.2;34184;64;56
151;The BFG;Adventure,Family,Fantasy;Steven Spielberg;Mark Rylance, Ruby Barnhill, Penelope Wilton,Jemaine Clement;2016;117;6.4;50853;55.47;66
172;Kubo and the Two Strings;Animation,Adventure,Family;Travis Knight;Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes;2016;101;7.9;72778;48.02;84
176;Tomorrowland;Action,Adventure,Family;Brad Bird;George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy;2015;130;6.5;143069;93.42;60
183;Cinderella;Drama,Family,Fantasy;Kenneth Branagh;Lily James, Cate Blanchett, Richard Madden,Helena Bonham Carter;2015;105;7;117018;201.15;67
229;Maleficent;Action,Adventure,Family;Robert Stromberg;Angelina Jolie, Elle Fanning, Sharlto Copley,Lesley Manville;2014;97;7;268877;241.41;56
245;Percy Jackson & the Olympians: The Lightning Thief;Adventure,Family,Fantasy;Chris Columbus;Logan Lerman, Kevin McKidd, Steve Coogan,Brandon T. Jackson;2010;118;5.9;148949;88.76;47
307;Alice Through the Looking Glass;Adventure,Family,Fantasy;James Bobin;Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway;2016;113;6.2;57207;77.04;34
315;Harry Potter and the Order of the Phoenix;Adventure,Family,Fantasy;David Yates;Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson;2007;138;7.5;385325;292;71
344;Pete's Dragon;Adventure,Family,Fantasy;David Lowery;Bryce Dallas Howard, Robert Redford, Oakes Fegley,Oona Laurence;2016;102;6.8;36322;76.2;71
347;Stardust;Adventure,Family,Fantasy;Matthew Vaughn;Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen;2007;127;7.7;220664;38.35;66
387;Pixels;Action,Comedy,Family;Chris Columbus;Adam Sandler, Kevin James, Michelle Monaghan,Peter Dinklage;2015;105;5.6;101092;78.75;27
419;Harry Potter and the Deathly Hallows: Part 1;Adventure,Family,Fantasy;David Yates;Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy;2010;146;7.7;357213;294.98;65
441;Oz the Great and Powerful;Adventure,Family,Fantasy;Sam Raimi;James Franco, Michelle Williams, Rachel Weisz, Mila Kunis;2013;130;6.3;181521;234.9;44
443;Coraline;Animation,Family,Fantasy;Henry Selick;Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders;2009;100;7.7;156620;75.28;80
465;Goosebumps;Adventure,Comedy,Family;Rob Letterman;Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee;2015;103;6.3;57602;80.02;60
474;Harry Potter and the Half-Blood Prince;Adventure,Family,Fantasy;David Yates;Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon;2009;153;7.5;351059;301.96;78
487;Hairspray;Comedy,Drama,Family;Adam Shankman;John Travolta, Queen Latifah, Nikki Blonsky,Michelle Pfeiffer;2007;117;6.7;102954;118.82;81
490;Ratatouille;Animation,Comedy,Family;Brad Bird;Brad Garrett, Lou Romano, Patton Oswalt,Ian Holm;2007;111;8;504039;206.44;96
548;Alice in Wonderland;Adventure,Family,Fantasy;Tim Burton;Mia Wasikowska, Johnny Depp, Helena Bonham Carter,Anne Hathaway;2010;108;6.5;324898;334.19;53
566;Pan;Adventure,Family,Fantasy;Joe Wright;Levi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara;2015;111;5.8;47804;34.96;36
572;Enchanted;Animation,Comedy,Family;Kevin Lima;Amy Adams, Susan Sarandon, James Marsden, Patrick Dempsey;2007;107;7.1;150353;127.71;75
582;The Last Airbender;Action,Adventure,Family;M. Night Shyamalan;Noah Ringer, Nicola Peltz, Jackson Rathbone,Dev Patel;2010;103;4.2;125129;0;20
595;Daddy's Home;Comedy,Family;Sean Anders;Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church;2015;96;6.1;68306;150.32;42
630;Night at the Museum: Secret of the Tomb;Adventure,Comedy,Family;Shawn Levy;Ben Stiller, Robin Williams, Owen Wilson, Dick Van Dyke;2014;98;6.2;74886;113.73;47
635;WALL-E;Animation,Adventure,Family;Andrew Stanton;Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard;2008;98;8.4;776897;223.81;95
696;Hachi: A Dog's Tale;Drama,Family;Lasse Hallström;Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa,Sarah Roemer;2009;93;8.1;177602;0;61
716;Happy Feet;Animation,Comedy,Family;George Miller;Elijah Wood, Brittany Murphy, Hugh Jackman, Robin Williams;2006;108;6.5;141141;197.99;77
725;The Karate Kid;Action,Drama,Family;Harald Zwart;Jackie Chan, Jaden Smith, Taraji P. Henson, Wenwen Han;2010;140;6.2;127983;176.59;61
