Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
5;Suicide Squad;Action,Adventure,Fantasy;David Ayer;Will Smith, Jared Leto, Margot Robbie, Viola Davis;2016;123;6.2;393727;325.02;40
6;The Great Wall;Action,Adventure,Fantasy;Yimou Zhang;Matt Damon, Tian Jing, Willem Dafoe, Andy Lau;2016;103;6.1;56036;45.13;42
11;Fantastic Beasts and Where to Find Them;Adventure,Family,Fantasy;David Yates;Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler;2016;133;7.5;232072;234.02;66
38;Doctor Strange;Action,Adventure,Fantasy;Scott Derrickson;Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong;2016;115;7.6;293732;232.6;72
46;Pirates of the Caribbean: On Stranger Tides;Action,Adventure,Fantasy;Rob Marshall;Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush;2011;136;6.7;395025;241.06;45
48;Fallen;Adventure,Drama,Fantasy;Scott Hicks;Hermione Corfield, Addison Timlin, Joely Richardson,Jeremy Irvine;2016;91;5.6;5103;0;52
51;Star Wars: Episode VII - The Force Awakens;Action,Adventure,Fantasy;J.J. Abrams;Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson;2015;136;8.1;661608;936.63;81
52;Underworld: Blood Wars;Action,Adventure,Fantasy;Anna Foerster;Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver;2016;91;5.8;41362;30.35;23
73;A Monster Calls;Drama,Fantasy;J.A. Bayona;Lewis MacDougall, Sigourney Weaver, Felicity Jones,Toby Kebbell;2016;108;7.5;39134;3.73;76
76;Pirates of the Caribbean: At World's End;Action,Adventure,Fantasy;Gore Verbinski;Johnny Depp, Orlando Bloom, Keira Knightley,Geoffrey Rush;2007;169;7.1;498821;309.4;50
79;Pirates of the Caribbean: Dead Man's Chest;Action,Adventure,Fantasy;Gore Verbinski;Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport;2006;151;7.3;552027;423.03;53
80;Ghostbusters;Action,Comedy,Fantasy;Paul Feig;Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones;2016;116;5.3;147717;128.34;60
88;Avatar;Action,Adventure,Fantasy;James Cameron;Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez;2009;162;7.8;935408;760.51;83
92;Warcraft;Action,Adventure,Fantasy;Duncan Jones;Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper;2016;123;7;187547;47.17;32
97;Kimi no na wa;Animation,Drama,Fantasy;Makoto Shinkai;Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yuki;2016;106;8.6;34110;4.68;79
102;Thor;Action,Adventure,Fantasy;Kenneth Branagh;Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston;2011;115;7;570814;181.02;57
114;300;Action,Fantasy,War;Zack Snyder;Gerard Butler, Lena Headey, David Wenham, Dominic West;2006;117;7.7;637104;210.59;52
115;Harry Potter and the Deathly Hallows: Part 2;Adventure,Drama,Fantasy;David Yates;Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon;2011;130;8.1;590595;380.96;87
