Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
12;Hidden Figures;Biography,Drama,History;Theodore Melfi;Taraji P. Henson, Octavia Spencer, Janelle Monáe,Kevin Costner;2016;127;7.8;93103;169.27;74
17;Hacksaw Ridge;Biography,Drama,History;Mel Gibson;Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer;2016;139;8.2;211760;67.12;71
44;The Founder;Biography,Drama,History;John Lee Hancock;Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini;2016;115;7.2;37033;12.79;66
56;Silence;Adventure,Drama,History;Martin Scorsese;Andrew Garfield, Adam Driver, Liam Neeson,Tadanobu Asano;2016;161;7.3;49190;7.08;79
67;Patriots Day;Drama,History,Thriller;Peter Berg;Mark Wahlberg, Michelle Monaghan, J.K. Simmons, John Goodman;2016;133;7.4;39784;31.86;69
71;The Promise;Drama,History;Terry George;Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Giménez Cacho;2016;133;5.9;149791;0;49
112;12 Years a Slave;Biography,Drama,History;Steve McQueen;Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt;2013;134;8.1;486338;56.67;96
168;Woman in Gold;Biography,Drama,History;Simon Curtis;Helen Mirren, Ryan Reynolds, Daniel Brühl, Katie Holmes;2015;109;7.3;39723;33.31;51
169;13 Hours;Action,Drama,History;Michael Bay;John Krasinski, Pablo Schreiber, James Badge Dale,David Denman;2016;144;7.3;76935;52.82;48
193;Spotlight;Crime,Drama,History;Tom McCarthy;Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber;2015;128;8.1;268282;44.99;93
237;Jackie;Biography,Drama,History;Pablo Larraín;Natalie Portman, Peter Sarsgaard, Greta Gerwig,Billy Crudup;2016;100;6.8;41446;13.96;81
253;Straight Outta Compton;Biography,Drama,History;F. Gary Gray;O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell,Neil Brown Jr.;2015;147;7.9;139831;161.03;72
278;Zodiac;Crime,Drama,History;David Fincher;Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo,Anthony Edwards;2007;157;7.7;329683;33.05;78
300;There Will Be Blood;Drama,History;Paul Thomas Anderson;Daniel Day-Lewis, Paul Dano, Ciarán Hinds,Martin Stringer;2007;158;8.1;400682;40.22;92
334;Lincoln;Biography,Drama,History;Steven Spielberg;Daniel Day-Lewis, Sally Field, David Strathairn,Joseph Gordon-Levitt;2012;150;7.4;207497;182.2;86
384;Bridge of Spies;Drama,History,Thriller;Steven Spielberg;Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan;2015;142;7.6;217938;72.31;81
407;Zero Dark Thirty;Drama,History,Thriller;Kathryn Bigelow;Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong;2012;157;7.4;226661;95.72;95
472;Marie Antoinette;Biography,Drama,History;Sofia Coppola;Kirsten Dunst, Jason Schwartzman, Rip Torn, Judy Davis;2006;123;6.4;83941;15.96;65
475;Argo;Biography,Drama,History;Ben Affleck;Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin;2012;120;7.7;481274;136.02;86
521;Anthropoid;Biography,History,Thriller;Sean Ellis;Jamie Dornan, Cillian Murphy, Brian Caspe, Karel Hermánek Jr.;2016;120;7.2;24100;2.96;59
523;Viking;Action,Drama,History;Andrey Kravchuk;Anton Adasinsky, Aleksandr Armer, Vilen Babichev, Rostislav Bershauer;2016;133;4.7;1830;23.05;57
577;The Finest Hours;Action,Drama,History;Craig Gillespie;Chris Pine, Casey Affleck, Ben Foster, Eric Bana;2016;117;6.8;44425;27.55;58
644;Frantz;Drama,History,War;François Ozon;Pierre Niney, Paula Beer, Ernst Stötzner, Marie Gruber;2016;113;7.5;4304;0.86;73
673;The Hurt Locker;Drama,History,Thriller;Kathryn Bigelow;Jeremy Renner, Anthony Mackie, Brian Geraghty,Guy Pearce;2008;131;7.6;352023;15.7;94
755;the devil's mistress;Biography,Drama,History;Filip Renc;Tatiana Pauhofová, Karl Markovics, Gedeon Burkhard,Simona Stasová;2016;106;5;353;0;64
810;USS Indianapolis: Men of Courage;Action,Drama,History;Mario Van Peebles;Nicolas Cage, Tom Sizemore, Thomas Jane,Matt Lanter;2016;128;5.2;4964;0;30
868;The Stanford Prison Experiment;Biography,Drama,History;Kyle Patrick Alvarez;Ezra Miller, Tye Sheridan, Billy Crudup, Olivia Thirlby;2015;122;6.9;20907;0.64;67
963;The Other Boleyn Girl;Biography,Drama,History;Justin Chadwick;Natalie Portman, Scarlett Johansson, Eric Bana,Jim Sturgess;2008;115;6.7;88260;26.81;50
990;Selma;Biography,Drama,History;Ava DuVernay;David Oyelowo, Carmen Ejogo, Tim Roth, Lorraine Toussaint;2014;128;7.5;67637;52.07;89
