Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
3;Split;Horror,Thriller;M. Night Shyamalan;James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula;2016;117;7.3;157606;138.12;62
23;Hounds of Love;Crime,Drama,Horror;Ben Young;Emma Booth, Ashleigh Cummings, Stephen Curry,Susie Porter;2016;108;6.7;1115;0;72
28;Dead Awake;Horror,Thriller;Phillip Guzman;Jocelin Donahue, Jesse Bradford, Jesse Borrego,Lori Petty;2016;99;4.7;523;0.01;34
35;Resident Evil: The Final Chapter;Action,Horror,Sci-Fi;Paul W.S. Anderson;Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts;2016;107;5.6;46165;26.84;49
43;Don't Fuck in the Woods;Horror;Shawn Burkett;Brittany Blanton, Ayse Howard, Roman Jossart,Nadia White;2016;73;2.7;496;0;64
57;Don't Breathe;Crime,Horror,Thriller;Fede Alvarez;Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto;2016;88;7.2;121103;89.21;71
62;The Autopsy of Jane Doe;Horror,Mystery,Thriller;André Øvredal;Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton;2016;86;6.8;35870;0;65
98;The Void;Horror,Mystery,Sci-Fi;Jeremy Gillespie;Aaron Poole, Kenneth Welsh,Daniel Fathers, Kathleen Munroe;2016;90;5.8;9247;0.15;62
111;The Belko Experiment;Action,Horror,Thriller;Greg McLean;John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley;2016;89;6.3;3712;10.16;44
117;The Neon Demon;Horror,Thriller;Nicolas Winding Refn;Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman;2016;118;6.2;50359;1.33;51
119;10 Cloverfield Lane;Drama,Horror,Mystery;Dan Trachtenberg;John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin;2016;104;7.2;192968;71.9;76
133;The Shallows;Drama,Horror,Thriller;Jaume Collet-Serra;Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo, Brett Cullen;2016;86;6.4;78328;55.12;59
155;Twin Peaks: The Missing Pieces;Drama,Horror,Mystery;David Lynch;Chris Isaak, Kiefer Sutherland, C.H. Evans, Sandra Kinder;2014;91;8.1;1973;0;41
156;Aliens vs Predator - Requiem;Action,Horror,Sci-Fi;Colin Strause;Reiko Aylesworth, Steven Pasquale,Shareeka Epps, John Ortiz;2007;94;4.7;97618;41.8;29
173;Beyond the Gates;Adventure,Horror;Jackson Stewart;Graham Skipper, Chase Williamson, Brea Grant,Barbara Crampton;2016;84;5.2;2127;0;59
179;The Conjuring 2;Horror,Mystery,Thriller;James Wan;Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor;2016;134;7.4;137203;102.46;65
182;The VVitch: A New-England Folktale;Horror,Mystery;Robert Eggers;Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings;2015;92;6.8;101781;25.14;83
188;Crimson Peak;Drama,Fantasy,Horror;Guillermo del Toro;Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam;2015;119;6.6;97454;31.06;66
194;Morgan;Horror,Sci-Fi,Thriller;Luke Scott;Kate Mara, Anya Taylor-Joy, Rose Leslie, Michael Yare;2016;92;5.8;22107;3.91;48
202;A Cure for Wellness;Drama,Fantasy,Horror;Gore Verbinski;Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi;2016;146;6.5;12193;8.1;47
207;Raw (II);Drama,Horror;Julia Ducournau;Garance Marillier, Ella Rumpf, Rabah Nait Oufella,Laurent Lucas;2016;99;7.5;5435;0.51;81
210;The Girl with All the Gifts;Drama,Horror,Thriller;Colm McCarthy;Gemma Arterton, Glenn Close, Dominique Tipper,Paddy Considine;2016;111;6.7;23713;0;67
219;A Dark Song;Drama,Horror;Liam Gavin;Mark Huberman, Susan Loughnane, Steve Oram,Catherine Walker;2016;100;6.1;1703;0;67
223;It Follows;Horror,Mystery;David Robert Mitchell;Maika Monroe, Keir Gilchrist, Olivia Luccardi,Lili Sepe;2014;100;6.9;136399;14.67;83
230;Rupture;Horror,Sci-Fi,Thriller;Steven Shainberg;Noomi Rapace, Michael Chiklis, Kerry Bishé,Peter Stormare;2016;102;4.8;2382;0;35
238;The Disappointments Room;Drama,Horror,Thriller;D.J. Caruso;Kate Beckinsale, Mel Raido, Duncan Joiner, Lucas Till;2016;85;3.9;4895;2.41;31
255;The Conjuring;Horror,Mystery,Thriller;James Wan;Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor;2013;112;7.5;330305;137.39;68
259;Lights Out;Horror;David F. Sandberg;Teresa Palmer, Gabriel Bateman, Maria Bello,Billy Burke;2016;81;6.4;69823;67.24;58
266;Knock Knock;Drama,Horror,Thriller;Eli Roth;Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns;2015;99;4.9;53441;0.03;53
