Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
7;La La Land;Comedy,Drama,Music;Damien Chazelle;Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons;2016;128;8.3;258682;151.06;93
134;Whiplash;Drama,Music;Damien Chazelle;Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser;2014;107;8.5;477276;13.09;88
274;Sing Street;Comedy,Drama,Music;John Carney;Ferdia Walsh-Peelo, Aidan Gillen, Maria Doyle Kennedy, Jack Reynor;2016;106;8;52144;3.23;79
292;Pitch Perfect;Comedy,Music,Romance;Jason Moore;Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp;2012;112;7.2;226631;65;66
321;Step Up;Crime,Drama,Music;Anne Fletcher;Channing Tatum, Jenna Dewan Tatum, Damaine Radcliff, De'Shawn Washington;2006;104;6.5;95960;65.27;48
412;Pitch Perfect 2;Comedy,Music;Elizabeth Banks;Anna Kendrick, Rebel Wilson, Hailee Steinfeld,Brittany Snow;2015;115;6.5;108306;183.44;63
504;Youth;Comedy,Drama,Music;Paolo Sorrentino;Michael Caine, Harvey Keitel, Rachel Weisz, Jane Fonda;2015;124;7.3;52636;2.7;64
515;Magic Mike XXL;Comedy,Drama,Music;Gregory Jacobs;Channing Tatum, Joe Manganiello, Matt Bomer,Adam Rodriguez;2015;115;5.7;42506;0;60
654;Popstar: Never Stop Never Stopping;Comedy,Music;Akiva Schaffer;Andy Samberg, Jorma Taccone,Akiva Schaffer, Sarah Silverman;2016;87;6.7;30875;9.39;68
745;We Are Your Friends;Drama,Music,Romance;Max Joseph;Zac Efron, Wes Bentley, Emily Ratajkowski, Jonny Weston;2015;96;6.2;25903;3.59;46
761;August Rush;Drama,Music;Kirsten Sheridan;Freddie Highmore, Keri Russell, Jonathan Rhys Meyers, Terrence Howard;2007;114;7.5;91229;31.66;38
852;Begin Again;Drama,Music;John Carney;Keira Knightley, Mark Ruffalo, Adam Levine, Hailee Steinfeld;2013;104;7.4;111875;16.17;62
931;Footloose;Comedy,Drama,Music;Craig Brewer;Kenny Wormald, Julianne Hough, Dennis Quaid,Andie MacDowell;2011;113;5.9;39380;51.78;58
932;If I Stay;Drama,Fantasy,Music;R.J. Cutler;Chloë Grace Moretz, Mireille Enos, Jamie Blackley,Joshua Leonard;2014;107;6.8;92170;50.46;46
992;Taare Zameen Par;Drama,Family,Music;Aamir Khan;Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer;2007;165;8.5;102697;1.2;42
998;Step Up 2: The Streets;Drama,Music,Romance;Jon M. Chu;Robert Hoffman, Briana Evigan, Cassie Ventura, Adam G. Sevani;2008;98;6.2;70699;58.01;50
