Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
2;Prometheus;Adventure,Mystery,Sci-Fi;Ridley Scott;Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron;2012;124;7;485820;126.46;65
20;Arrival;Drama,Mystery,Sci-Fi;Denis Villeneuve;Amy Adams, Jeremy Renner, Forest Whitaker,Michael Stuhlbarg;2016;116;8;340798;100.5;81
62;The Autopsy of Jane Doe;Horror,Mystery,Thriller;André Øvredal;Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton;2016;86;6.8;35870;0;65
63;The Girl on the Train;Crime,Drama,Mystery;Tate Taylor;Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux;2016;112;6.5;102177;75.31;48
65;The Prestige;Drama,Mystery,Sci-Fi;Christopher Nolan;Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine;2006;130;8.5;913152;53.08;66
84;Gone Girl;Crime,Drama,Mystery;David Fincher;Ben Affleck, Rosamund Pike, Neil Patrick Harris,Tyler Perry;2014;149;8.1;636243;167.74;79
89;The Hateful Eight;Crime,Drama,Mystery;Quentin Tarantino;Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins;2015;187;7.8;341170;54.12;68
91;Prisoners;Crime,Drama,Mystery;Denis Villeneuve;Hugh Jackman, Jake Gyllenhaal, Viola Davis,Melissa Leo;2013;153;8.1;431185;60.96;74
98;The Void;Horror,Mystery,Sci-Fi;Jeremy Gillespie;Aaron Poole, Kenneth Welsh,Daniel Fathers, Kathleen Munroe;2016;90;5.8;9247;0.15;62
99;Personal Shopper;Drama,Mystery,Thriller;Olivier Assayas;Kristen Stewart, Lars Eidinger, Sigrid Bouaziz,Anders Danielsen Lie;2016;105;6.3;10181;1.29;77
104;Contratiempo;Crime,Mystery,Thriller;Oriol Paulo;Mario Casas, Ana Wagener, José Coronado, Bárbara Lennie;2016;106;7.9;7204;0;51
110;Ex Machina;Drama,Mystery,Sci-Fi;Alex Garland;Alicia Vikander, Domhnall Gleeson, Oscar Isaac,Sonoya Mizuno;2014;108;7.7;339797;25.44;78
119;10 Cloverfield Lane;Drama,Horror,Mystery;Dan Trachtenberg;John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin;2016;104;7.2;192968;71.9;76
122;Divergent;Adventure,Mystery,Sci-Fi;Neil Burger;Shailene Woodley, Theo James, Kate Winslet, Jai Courtney;2014;139;6.7;362093;150.83;48
128;Nerve;Adventure,Crime,Mystery;Henry Joost;Emma Roberts, Dave Franco, Emily Meade, Miles Heizer;2016;96;6.6;69651;38.56;58
139;Shutter Island;Mystery,Thriller;Martin Scorsese;Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo,Ben Kingsley;2010;138;8.1;855604;127.97;63
140;Brimstone;Mystery,Thriller,Western;Martin Koolhoven;Dakota Fanning, Guy Pearce, Kit Harington,Carice van Houten;2016;148;7.1;13004;0;44
146;Ah-ga-ssi;Drama,Mystery,Romance;Chan-wook Park;Min-hee Kim, Jung-woo Ha, Jin-woong Jo, So-ri Moon;2016;144;8.1;33418;2.01;84
148;Watchmen;Action,Drama,Mystery;Zack Snyder;Jackie Earle Haley, Patrick Wilson, Carla Gugino,Malin Akerman;2009;162;7.6;410249;107.5;56
155;Twin Peaks: The Missing Pieces;Drama,Horror,Mystery;David Lynch;Chris Isaak, Kiefer Sutherland, C.H. Evans, Sandra Kinder;2014;91;8.1;1973;0;41
160;Hot Fuzz;Action,Comedy,Mystery;Edgar Wright;Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy;2007;121;7.9;373244;23.62;81
179;The Conjuring 2;Horror,Mystery,Thriller;James Wan;Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor;2016;134;7.4;137203;102.46;65
182;The VVitch: A New-England Folktale;Horror,Mystery;Robert Eggers;Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings;2015;92;6.8;101781;25.14;83
205;Allegiant;Action,Adventure,Mystery;Robert Schwentke;Shailene Woodley, Theo James, Jeff Daniels,Naomi Watts;2016;120;5.7;70504;66;33
214;Old Boy;Action,Drama,Mystery;Spike Lee;Josh Brolin, Elizabeth Olsen, Samuel L. Jackson, Sharlto Copley;2013;104;5.8;54679;0;49
