Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
10;Passengers;Adventure,Drama,Romance;Morten Tyldum;Jennifer Lawrence, Chris Pratt, Michael Sheen,Laurence Fishburne;2016;116;7;192177;100.01;41
58;Me Before You;Drama,Romance;Thea Sharrock;Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance;2016;106;7.4;113322;56.23;51
59;Their Finest;Comedy,Drama,Romance;Lone Scherfig;Gemma Arterton, Sam Claflin, Bill Nighy, Jack Huston;2016;117;7;3739;3.18;76
64;Fifty Shades of Grey;Drama,Romance,Thriller;Sam Taylor-Johnson;Dakota Johnson, Jamie Dornan, Jennifer Ehle,Eloise Mumford;2015;125;4.1;244474;166.15;46
72;Allied;Action,Drama,Romance;Robert Zemeckis;Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim;2016;124;7.1;78079;40.07;60
74;Collateral Beauty;Drama,Romance;David Frankel;Will Smith, Edward Norton, Kate Winslet, Michael Peña;2016;97;6.8;43977;30.98;23
113;The Bad Batch;Romance,Sci-Fi;Ana Lily Amirpour;Keanu Reeves, Jason Momoa, Jim Carrey, Diego Luna;2016;118;6.1;512;0;65
123;Mike and Dave Need Wedding Dates;Adventure,Comedy,Romance;Jake Szymanski;Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza;2016;98;6;53183;46.01;51
138;The Great Gatsby;Drama,Romance;Baz Luhrmann;Leonardo DiCaprio, Carey Mulligan, Joel Edgerton,Tobey Maguire;2013;143;7.3;386102;144.81;55
146;Ah-ga-ssi;Drama,Mystery,Romance;Chan-wook Park;Min-hee Kim, Jung-woo Ha, Jin-woong Jo, So-ri Moon;2016;144;8.1;33418;2.01;84
158;Crazy, Stupid, Love.;Comedy,Drama,Romance;Glenn Ficarra;Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone;2011;118;7.4;396714;84.24;68
166;Twilight;Drama,Fantasy,Romance;Catherine Hardwicke;Kristen Stewart, Robert Pattinson, Billy Burke,Sarah Clarke;2008;122;5.2;361449;191.45;56
174;Her;Drama,Romance,Sci-Fi;Spike Jonze;Joaquin Phoenix, Amy Adams, Scarlett Johansson,Rooney Mara;2013;126;8;390531;25.56;90
181;Bridget Jones's Baby;Comedy,Romance;Sharon Maguire;Renée Zellweger, Gemma Jones, Jim Broadbent,Sally Phillips;2016;118;6.7;43086;24.09;59
186;Love;Drama,Romance;Gaspar Noé;Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra;2015;135;6;24003;0;51
190;Trainwreck;Comedy,Drama,Romance;Judd Apatow;Amy Schumer, Bill Hader, Brie Larson, Colin Quinn;2015;125;6.3;106364;110.01;75
191;The Light Between Oceans;Drama,Romance;Derek Cianfrance;Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery;2016;133;7.2;27382;12.53;60
208;Paterson;Comedy,Drama,Romance;Jim Jarmusch;Adam Driver, Golshifteh Farahani, Nellie, Rizwan Manji;2016;118;7.5;26089;2.14;90
209;Bridesmaids;Comedy,Romance;Paul Feig;Kristen Wiig, Maya Rudolph, Rose Byrne, Terry Crews;2011;125;6.8;227912;169.08;75
227;The Lobster;Comedy,Drama,Romance;Yorgos Lanthimos;Colin Farrell, Rachel Weisz, Jessica Barden,Olivia Colman;2015;119;7.1;121313;8.7;82
236;The Perks of Being a Wallflower;Drama,Romance;Stephen Chbosky;Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd;2012;102;8;377336;17.74;67
240;The Host;Action,Adventure,Romance;Andrew Niccol;Saoirse Ronan, Max Irons, Jake Abel, Diane Kruger;2013;125;5.9;96852;26.62;35
246;Les Misérables;Drama,Musical,Romance;Tom Hooper;Hugh Jackman, Russell Crowe, Anne Hathaway,Amanda Seyfried;2012;158;7.6;257426;148.78;63
251;Bonjour Anne;Comedy,Drama,Romance;Eleanor Coppola;Diane Lane, Alec Baldwin, Arnaud Viard, Linda Gegusch;2016;92;4.9;178;0.32;50
261;Birdman or (The Unexpected Virtue of Ignorance);Comedy,Drama,Romance;Alejandro González Iñárritu;Michael Keaton, Zach Galifianakis,Edward Norton, Andrea Riseborough;2014;119;7.8;440299;42.34;88
