Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
3;Split;Horror,Thriller;M. Night Shyamalan;James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula;2016;117;7.3;157606;138.12;62
18;Jason Bourne;Action,Thriller;Paul Greengrass;Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel;2016;123;6.7;150823;162.16;58
21;Gold;Adventure,Drama,Thriller;Stephen Gaghan;Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard, Corey Stoll;2016;120;6.7;19053;7.22;49
28;Dead Awake;Horror,Thriller;Phillip Guzman;Jocelin Donahue, Jesse Bradford, Jesse Borrego,Lori Petty;2016;99;4.7;523;0.01;34
32;Nocturnal Animals;Drama,Thriller;Tom Ford;Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson;2016;116;7.5;126030;10.64;67
47;Miss Sloane;Drama,Thriller;John Madden;Jessica Chastain, Mark Strong, Gugu Mbatha-Raw,Michael Stuhlbarg;2016;132;7.3;17818;3.44;64
54;John Wick;Action,Crime,Thriller;Chad Stahelski;Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe;2014;101;7.2;321933;43;68
57;Don't Breathe;Crime,Horror,Thriller;Fede Alvarez;Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto;2016;88;7.2;121103;89.21;71
62;The Autopsy of Jane Doe;Horror,Mystery,Thriller;André Øvredal;Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton;2016;86;6.8;35870;0;65
64;Fifty Shades of Grey;Drama,Romance,Thriller;Sam Taylor-Johnson;Dakota Johnson, Jamie Dornan, Jennifer Ehle,Eloise Mumford;2015;125;4.1;244474;166.15;46
67;Patriots Day;Drama,History,Thriller;Peter Berg;Mark Wahlberg, Michelle Monaghan, J.K. Simmons, John Goodman;2016;133;7.4;39784;31.86;69
70;Deepwater Horizon;Action,Drama,Thriller;Peter Berg;Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont;2016;107;7.2;89849;61.28;68
85;Furious Seven;Action,Crime,Thriller;James Wan;Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham;2015;137;7.2;301249;350.03;67
99;Personal Shopper;Drama,Mystery,Thriller;Olivier Assayas;Kristen Stewart, Lars Eidinger, Sigrid Bouaziz,Anders Danielsen Lie;2016;105;6.3;10181;1.29;77
100;The Departed;Crime,Drama,Thriller;Martin Scorsese;Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg;2006;151;8.5;937414;132.37;85
104;Contratiempo;Crime,Mystery,Thriller;Oriol Paulo;Mario Casas, Ana Wagener, José Coronado, Bárbara Lennie;2016;106;7.9;7204;0;51
106;Hell or High Water;Crime,Drama,Thriller;David Mackenzie;Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham;2016;102;7.7;115546;26.86;88
111;The Belko Experiment;Action,Horror,Thriller;Greg McLean;John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley;2016;89;6.3;3712;10.16;44
117;The Neon Demon;Horror,Thriller;Nicolas Winding Refn;Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman;2016;118;6.2;50359;1.33;51
125;The Dark Knight Rises;Action,Thriller;Christopher Nolan;Christian Bale, Tom Hardy, Anne Hathaway,Gary Oldman;2012;164;8.5;1222645;448.13;78
130;The Revenant;Adventure,Drama,Thriller;Alejandro González Iñárritu;Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson;2015;156;8;499424;183.64;76
133;The Shallows;Drama,Horror,Thriller;Jaume Collet-Serra;Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo, Brett Cullen;2016;86;6.4;78328;55.12;59
135;Furious 6;Action,Crime,Thriller;Justin Lin;Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez;2013;130;7.1;318051;238.67;61
136;The Place Beyond the Pines;Crime,Drama,Thriller;Derek Cianfrance;Ryan Gosling, Bradley Cooper, Eva Mendes,Craig Van Hook;2012;140;7.3;200090;21.38;68
137;No Country for Old Men;Crime,Drama,Thriller;Ethan Coen;Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson;2007;122;8.1;660286;74.27;91
139;Shutter Island;Mystery,Thriller;Martin Scorsese;Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo,Ben Kingsley;2010;138;8.1;855604;127.97;63
140;Brimstone;Mystery,Thriller,Western;Martin Koolhoven;Dakota Fanning, Guy Pearce, Kit Harington,Carice van Houten;2016;148;7.1;13004;0;44
152;The Hunger Games;Adventure,Sci-Fi,Thriller;Gary Ross;Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth,Stanley Tucci;2012;142;7.2;735604;408;68
161;Mine;Thriller,War;Fabio Guaglione;Armie Hammer, Annabelle Wallis,Tom Cullen, Clint Dyer;2016;106;6;5926;0;40
165;Casino Royale;Action,Adventure,Thriller;Martin Campbell;Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright;2006;144;8;495106;167.01;80
170;Spectre;Action,Adventure,Thriller;Sam Mendes;Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes;2015;148;6.8;308981;200.07;60
171;Nightcrawler;Crime,Drama,Thriller;Dan Gilroy;Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed;2014;118;7.9;332476;32.28;76
179;The Conjuring 2;Horror,Mystery,Thriller;James Wan;Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor;2016;134;7.4;137203;102.46;65
185;Forushande;Drama,Thriller;Asghar Farhadi;Taraneh Alidoosti, Shahab Hosseini, Babak Karimi,Farid Sajjadi Hosseini;2016;124;8;22389;3.4;85
194;Morgan;Horror,Sci-Fi,Thriller;Luke Scott;Kate Mara, Anya Taylor-Joy, Rose Leslie, Michael Yare;2016;92;5.8;22107;3.91;48
197;Hacker;Crime,Drama,Thriller;Akan Satayev;Callan McAuliffe, Lorraine Nicholson, Daniel Eric Gold, Clifton Collins Jr.;2016;95;6.3;3799;0;54
199;The Imitation Game;Biography,Drama,Thriller;Morten Tyldum;Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech;2014;114;8.1;532353;91.12;73
203;Snowden;Biography,Drama,Thriller;Oliver Stone;Joseph Gordon-Levitt, Shailene Woodley, Melissa Leo,Zachary Quinto;2016;134;7.3;79855;21.48;58
210;The Girl with All the Gifts;Drama,Horror,Thriller;Colm McCarthy;Gemma Arterton, Glenn Close, Dominique Tipper,Paddy Considine;2016;111;6.7;23713;0;67
230;Rupture;Horror,Sci-Fi,Thriller;Steven Shainberg;Noomi Rapace, Michael Chiklis, Kerry Bishé,Peter Stormare;2016;102;4.8;2382;0;35
232;A Kind of Murder;Crime,Drama,Thriller;Andy Goddard;Patrick Wilson, Jessica Biel, Haley Bennett, Vincent Kartheiser;2016;95;5.2;3305;0;50
234;Mission: Impossible - Rogue Nation;Action,Adventure,Thriller;Christopher McQuarrie;Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg;2015;131;7.4;257472;195;75
238;The Disappointments Room;Drama,Horror,Thriller;D.J. Caruso;Kate Beckinsale, Mel Raido, Duncan Joiner, Lucas Till;2016;85;3.9;4895;2.41;31
247;Children of Men;Drama,Sci-Fi,Thriller;Alfonso Cuarón;Julianne Moore, Clive Owen, Chiwetel Ejiofor,Michael Caine;2006;109;7.9;382910;35.29;84
252;Kynodontas;Drama,Thriller;Yorgos Lanthimos;Christos Stergioglou, Michele Valley, Angeliki Papoulia, Hristos Passalis;2009;94;7.3;50946;0.11;73
255;The Conjuring;Horror,Mystery,Thriller;James Wan;Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor;2013;112;7.5;330305;137.39;68
260;Norman: The Moderate Rise and Tragic Fall of a New York Fixer;Drama,Thriller;Joseph Cedar;Richard Gere, Lior Ashkenazi, Michael Sheen,Charlotte Gainsbourg;2016;118;7.1;664;2.27;76
262;Black Swan;Drama,Thriller;Darren Aronofsky;Natalie Portman, Mila Kunis, Vincent Cassel,Winona Ryder;2010;108;8;581518;106.95;79
266;Knock Knock;Drama,Horror,Thriller;Eli Roth;Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns;2015;99;4.9;53441;0.03;53
271;Skyfall;Action,Adventure,Thriller;Sam Mendes;Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench;2012;143;7.8;547386;304.36;81
281;Now You See Me;Crime,Mystery,Thriller;Louis Leterrier;Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson;2013;115;7.3;492324;117.7;50
283;Death Proof;Thriller;Quentin Tarantino;Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito;2007;113;7.1;220236;0;43
290;Iris;Thriller;Jalil Lespert;Romain Duris, Charlotte Le Bon, Jalil Lespert, Camille Cottin;2016;99;6.1;726;0;61
301;The Equalizer;Action,Crime,Thriller;Antoine Fuqua;Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour;2014;132;7.2;249425;101.53;57
308;Vincent N Roxxy;Crime,Drama,Thriller;Gary Michael Schultz;Emile Hirsch, Zoë Kravitz, Zoey Deutch,Emory Cohen;2016;110;5.5;403;0;43
309;The Fast and the Furious: Tokyo Drift;Action,Crime,Thriller;Justin Lin;Lucas Black, Zachery Ty Bryan, Shad Moss, Damien Marzette;2006;104;6;193479;62.49;45
319;The Visit;Comedy,Horror,Thriller;M. Night Shyamalan;Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie;2015;94;6.2;81429;65.07;55
320;Fast Five;Action,Crime,Thriller;Justin Lin;Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster;2011;131;7.3;300803;209.81;66
323;RocknRolla;Action,Crime,Thriller;Guy Ritchie;Gerard Butler, Tom Wilkinson, Idris Elba, Thandie Newton;2008;114;7.3;203096;5.69;53
324;In Time;Action,Sci-Fi,Thriller;Andrew Niccol;Justin Timberlake, Amanda Seyfried, Cillian Murphy,Olivia Wilde;2011;109;6.7;319025;37.55;53
329;Green Room;Crime,Horror,Thriller;Jeremy Saulnier;Anton Yelchin, Imogen Poots, Alia Shawkat,Patrick Stewart;2015;95;7;62885;3.22;79
341;Fast & Furious;Action,Crime,Thriller;Justin Lin;Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster;2009;107;6.6;217464;155.02;46
343;White House Down;Action,Drama,Thriller;Roland Emmerich;Channing Tatum, Jamie Foxx, Maggie Gyllenhaal,Jason Clarke;2013;131;6.4;173320;73.1;52
355;Insurgent;Adventure,Sci-Fi,Thriller;Robert Schwentke;Shailene Woodley, Ansel Elgort, Theo James,Kate Winslet;2015;119;6.3;171970;130;42
362;Clown;Horror,Thriller;Jon Watts;Andy Powers, Laura Allen, Peter Stormare, Christian Distefano;2014;100;5.7;14248;0.05;42
376;Collide;Action,Crime,Thriller;Eran Creevy;Nicholas Hoult, Felicity Jones, Anthony Hopkins, Ben Kingsley;2016;99;5.7;7583;2.2;33
380;The Expendables 3;Action,Adventure,Thriller;Patrick Hughes;Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas;2014;126;6.1;137568;39.29;35
383;Hush;Horror,Thriller;Mike Flanagan;John Gallagher Jr., Kate Siegel, Michael Trucco,Samantha Sloyan;2016;81;6.6;45867;0;67
384;Bridge of Spies;Drama,History,Thriller;Steven Spielberg;Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan;2015;142;7.6;217938;72.31;81
406;The Invitation;Drama,Mystery,Thriller;Karyn Kusama;Logan Marshall-Green, Emayatzy Corinealdi, Michiel Huisman, Tammy Blanchard;2015;100;6.7;40529;0.23;74
407;Zero Dark Thirty;Drama,History,Thriller;Kathryn Bigelow;Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong;2012;157;7.4;226661;95.72;95
411;Taken;Action,Thriller;Pierre Morel;Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser;2008;93;7.8;502961;145;50
414;Elle;Crime,Drama,Thriller;Paul Verhoeven;Isabelle Huppert, Laurent Lafitte, Anne Consigny,Charles Berling;2016;130;7.2;35417;0;89
421;Hanna;Action,Drama,Thriller;Joe Wright;Saoirse Ronan, Cate Blanchett, Eric Bana, Vicky Krieps;2011;111;6.8;164208;40.25;65
427;Sin City: A Dame to Kill For;Action,Crime,Thriller;Frank Miller;Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt;2014;102;6.5;122185;13.75;46
428;The Bourne Ultimatum;Action,Mystery,Thriller;Paul Greengrass;Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles;2007;115;8.1;525700;227.14;85
429;Srpski film;Horror,Mystery,Thriller;Srdjan Spasojevic;Srdjan 'Zika' Todorovic, Sergej Trifunovic,Jelena Gavrilovic, Slobodan Bestic;2010;104;5.2;43648;0;55
434;Mission: Impossible - Ghost Protocol;Action,Adventure,Thriller;Brad Bird;Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton;2011;132;7.4;382459;209.36;73
438;The imposible;Drama,Thriller;J.A. Bayona;Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast;2012;114;7.6;156189;19;73
445;The Thinning;Thriller;Michael J. Gallagher;Logan Paul, Peyton List, Lia Marie Johnson,Calum Worthy;2016;81;6;4531;0;31
