Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
78;Inglourious Basterds;Adventure,Drama,War;Quentin Tarantino;Brad Pitt, Diane Kruger, Eli Roth,Mélanie Laurent;2009;153;8.3;959065;120.52;69
114;300;Action,Fantasy,War;Zack Snyder;Gerard Butler, Lena Headey, David Wenham, Dominic West;2006;117;7.7;637104;210.59;52
161;Mine;Thriller,War;Fabio Guaglione;Armie Hammer, Annabelle Wallis,Tom Cullen, Clint Dyer;2016;106;6;5926;0;40
187;Billy Lynn's Long Halftime Walk;Drama,War;Ang Lee;Joe Alwyn, Garrett Hedlund, Arturo Castro, Mason Lee;2016;113;6.3;11944;1.72;53
231;Pan's Labyrinth;Drama,Fantasy,War;Guillermo del Toro;Ivana Baquero, Ariadna Gil, Sergi López,Maribel Verdú;2006;118;8.2;498879;37.62;98
241;Fury;Action,Drama,War;David Ayer;Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña;2014;134;7.6;332234;85.71;64
480;Macbeth;Drama,War;Justin Kurzel;Michael Fassbender, Marion Cotillard, Jack Madigan,Frank Madigan;2015;113;6.7;41642;0;71
511;The Boy in the Striped Pyjamas;Drama,War;Mark Herman;Asa Butterfield, David Thewlis, Rupert Friend, Zac Mattoon O'Brien;2008;94;7.8;144614;9.03;55
644;Frantz;Drama,History,War;François Ozon;Pierre Niney, Paula Beer, Ernst Stötzner, Marie Gruber;2016;113;7.5;4304;0.86;73
714;Incendies;Drama,Mystery,War;Denis Villeneuve;Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel;2010;131;8.2;92863;6.86;80
763;Eye in the Sky;Drama,Thriller,War;Gavin Hood;Helen Mirren, Aaron Paul, Alan Rickman, Barkhad Abdi;2015;102;7.3;57826;18.7;73
821;suite francaise;Drama,Romance,War;Saul Dibb;Michelle Williams, Kristin Scott Thomas, Margot Robbie,Eric Godon;2014;107;6.9;13711;0;63
895;Rambo;Action,Thriller,War;Sylvester Stallone;Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish;2008;92;7.1;187077;42.72;46
